Issue Type,Summary,Epic Name,Epic Link,Priority,Labels,Description
Epic,"E1: Foundation, Schema and Auth",Foundation & Auth,,Highest,slice-1,"A deployed, empty Throughline instance whose database matches ERD Appendix A exactly, whose Supabase Data API is provably closed (T34), and which can create/read a bare Project row."
Task,"E1-T1: Provision Supabase project (Postgres 15+, Auth, Storage)",,Foundation & Auth,Highest,slice-1 module-db p0,"Cites: ERD 2.1, 5.1. Depends on: none. Est: 0.5h."
Task,E1-T3: Scaffold Next.js app; tsconfig strictness; eslint-plugin-boundaries config; verify it fails on a deliberate bad import,,Foundation & Auth,Highest,slice-1 p0,"Cites: Project Setup sections 2, 3, 5.1, 5.3; step 1-3. Depends on: none. Est: 1h."
Task,"E1-T4: Code-hygiene tooling: husky, lint-staged, Prettier, .npmrc, .vscode, .gitattributes",,Foundation & Auth,Highest,slice-1 p0,Cites: Project Setup sections 5.5-5.8; step 2b. Depends on: E1-T3. Est: 1.5h.
Task,"E1-T5: Env schema (Zod, throws at boot) + .env.example",,Foundation & Auth,Highest,slice-1 module-db p0,Cites: Project Setup section 7; step 4. Depends on: E1-T4. Est: 0.5h.
Story,E1-S1: Drizzle schema for all 16 tables (Appendix A.1),,Foundation & Auth,Highest,slice-1 module-db p0,"Cites: ERD Appendix A.1; Module Boundaries db. Depends on: E1-T1, E1-T5. Est: 3h."
Story,E1-S2: Custom migration: triggers (Appendix A.2),,Foundation & Auth,Highest,slice-1 module-db p0,Cites: ERD Appendix A.2. Depends on: E1-S1. Est: 1.5h.
Story,E1-S3: Custom migration: impact() function (section 6.3),,Foundation & Auth,Highest,slice-1 module-impact p0,Cites: ERD 6.3. Depends on: E1-S2. Est: 1h.
Story,E1-S4: Custom migration: Supabase hardening (Appendix A.3),,Foundation & Auth,Highest,slice-1 module-db p0 test-T34,Cites: ERD Appendix A.3; T34. Depends on: E1-S3. Est: 1h.
Task,"E1-S5: Port ERD Appendix C (T1-T43) into tests/integration as executable stubs; T14, T27, T28, T34 pass in this slice - the rest turn green as their owning slice lands (E2-S9, E3-T1, E4-T3 each re-run this same suite, not a copy of it)",,Foundation & Auth,Highest,slice-1 p0 test-T14 test-T27 test-T28 test-T34,"Cites: ERD Appendix C; Project Setup section 10 step 9; T14, T27, T28, T34. Depends on: E1-S4. Est: 5h."
